Szer_geo,Dlug_geo,Numer_slupka,Nazwa_zespolu,Wartosc_zespolu
51.955003,21.108198,02,Obręb II,3760
51.955603,21.224429,01,Warecka,3774
51.955750,21.135033,02,Czaplinek II,3782
51.955994,21.225249,02,Warecka,3774
51.956320,21.119131,02,Obręb I,3761
51.956334,21.135236,01,Czaplinek II,3782
51.956999,21.150658,01,Prosta,3965
51.957142,21.076540,02,Klonowa,3990
51.957318,21.076539,01,Klonowa,3990
51.957376,21.026440,01,Złota,3889
51.957423,21.028034,03,Złota,3889
51.957792,21.152608,02,Prosta,3965
51.958085,21.026635,02,Złota,3889
51.958137,20.947808,02,Słoneczna,3975
51.959091,21.231723,01,Czersk-Zamek,3773
51.959179,21.231574,02,Czersk-Zamek,3773
51.959665,21.159361,02,Dębówka,3966
51.959948,21.088211,01,Czachówek-Szkoła,3783
51.959974,21.088115,02,Czachówek-Szkoła,3783
51.960002,21.158351,01,Dębówka,3966
51.960257,21.075602,02,Akacjowa,3707
51.960305,21.075126,01,Akacjowa,3707
51.961665,21.067635,01,Modrzewiowa,3980
51.961814,21.133657,01,Sobików,3746
51.961814,21.133657,81,Sobików,3746
51.961857,21.066702,02,Modrzewiowa,3980
51.963020,21.061868,01,Babiego Lata,3957
51.963020,21.061868,02,Babiego Lata,3957
51.967222,21.083652,01,Czachówek-Las,3971
51.967427,21.083554,02,Czachówek-Las,3971
51.967449,21.132874,01,Cendrowice,3745
51.967449,21.132874,81,Cendrowice,3745
51.967975,20.950706,02,OSP Nowy Prażmów,3976
51.968163,21.016360,01,Klonowa,3484
51.968560,21.132844,02,Cendrowice,3745
51.968560,21.132844,82,Cendrowice,3745
51.969064,21.213909,02,Stadion,3772
51.970893,21.154993,02,Kolonia Sobików,3762
51.970946,21.155129,01,Kolonia Sobików,3762
51.971116,21.213828,01,Stadion,3772
51.971204,21.046152,01,Dębowa,3700
51.971649,21.045661,02,Dębowa,3700
51.974514,21.041578,01,Uwieliny-Szkoła,3899
51.974599,21.173977,01,Krzaki Czaplinkowskie,3763
51.974601,21.105418,01,Czarny Las,3784
51.974799,21.174783,02,Krzaki Czaplinkowskie,3763
51.975525,21.041228,02,Uwieliny-Szkoła,3899
51.975816,21.011374,02,Leśna,3888
51.976496,21.010854,01,Leśna,3888
51.976869,20.952189,02,Lipowa,3482
51.980071,20.950874,02,Łoś,3977
51.980976,21.190747,02,Marianki,3764
51.980997,21.190697,01,Marianki,3764
51.981035,21.039420,51,Kędzierówka,3898
51.981144,21.216983,02,Rynek,3368
51.981210,21.039790,52,Kędzierówka,3898
51.981366,21.039217,01,Kędzierówka,3898
51.981514,21.039264,02,Kędzierówka,3898
51.981621,21.217428,01,Rynek,3368
51.981755,21.211427,01,Kalwaryjska,3474
51.981845,21.208514,02,Kalwaryjska,3474
51.981985,21.115015,02,Akacjowa,3744
51.982038,21.114840,01,Akacjowa,3744
51.984617,21.195740,01,Cmentarz,3765
51.984619,21.195820,02,Cmentarz,3765
51.986131,21.212442,01,Pijarska-Osiedle,3455
51.986132,21.213382,02,Pijarska-Osiedle,3455
51.986764,21.214091,01,Pijarska,3369
51.986972,21.037396,01,Słoneczna,3886
51.987433,21.213828,02,Pijarska,3369
51.987552,21.003342,02,Piskórka,3887
51.987787,21.038664,03,Słoneczna,3886
51.987787,21.038664,04,Słoneczna,3886
51.987950,21.201811,02,Mickiewicza,3461
51.988007,21.037585,02,Słoneczna,3886
51.988007,21.037585,54,Słoneczna,3886
51.988085,21.037553,52,Słoneczna,3886
51.988894,21.003349,01,Piskórka,3887
51.988895,21.199557,01,Pijarska-Basen,3460
51.989487,21.003072,03,Piskórka,3887
51.990389,21.003400,04,Piskórka,3887
51.990655,21.109292,01,Ogrodowa,3743
51.990708,21.109315,02,Ogrodowa,3743
51.990765,21.051237,02,Kasztanowa,3897
51.991032,21.051321,01,Kasztanowa,3897
51.992616,21.191374,01,Adamowicza,3459
51.993293,21.190226,02,Adamowicza,3459
51.993629,21.038067,52,Graniczna,3896
51.993801,21.037992,51,Graniczna,3896
51.994015,21.209670,01,Wyszyńskiego,3367
51.994310,21.051343,01,Graniczna,3896
51.994317,20.934948,01,Gromadzka,3809
51.994341,20.935026,02,Gromadzka,3809
51.994386,21.051386,02,Graniczna,3896
51.994530,21.209075,02,Wyszyńskiego,3367
51.995241,20.930202,02,Imbirowa,3812
51.995499,20.929592,01,Imbirowa,3812
51.996833,21.182352,01,Mikówiec,3378
51.997544,21.180893,02,Mikówiec,3378
51.997619,20.924108,02,Rosy,3820
51.998194,20.922779,01,Rosy,3820
51.998883,21.199839,01,Moczydłów,3366
51.998917,21.038341,01,Parkowa,3885
51.998959,21.038298,51,Parkowa,3885
51.999368,21.199455,02,Moczydłów,3366
51.999554,20.936795,02,Henryków-Urocze,3808
51.999783,20.936799,01,Henryków-Urocze,3808
52.000086,21.038925,03,Parkowa,3885
52.000193,21.050611,01,Długa,3895
52.000267,21.038525,02,Parkowa,3885
52.000609,21.044947,01,Łąkowa,3818
52.000678,21.045455,02,Łąkowa,3818
52.000933,20.915790,02,3 Maja,3821
52.001047,21.173339,02,Kąty,3377
52.001417,21.110889,01,Dobiesz,3742
52.001550,20.914540,01,3 Maja,3821
52.001553,21.110854,02,Dobiesz,3742
52.002203,21.170586,01,Kąty,3377
52.002614,21.197251,01,Ku Słońcu,3365
52.003324,21.197200,02,Ku Słońcu,3365
52.003859,20.908685,01,OSP Złotokłos,3822
52.003911,20.984986,81,Grochowa,3950
52.003927,20.985106,01,Grochowa,3950
52.004162,20.908046,02,OSP Złotokłos,3822
52.005237,21.039241,02,Sadowa,3857
52.005341,21.107418,02,Dobiesz II,3786
52.005703,21.107155,01,Dobiesz II,3786
52.005858,21.039275,01,Sadowa,3857
52.007738,21.001574,51,Pęchery,3753
52.007763,20.896043,02,Złotokłos,4080
52.007817,21.001547,52,Pęchery,3753
52.008176,20.898178,02,Fogga,3823
52.008514,21.001185,01,Pęchery,3753
52.008567,21.001262,02,Pęchery,3753
52.009418,21.039692,01,Słowicza,3884
52.009527,21.154875,02,Tomice,3376
52.009991,20.944596,02,Runów Osada II,3807
52.010055,21.153472,01,Tomice,3376
52.010337,20.944818,01,Runów Osada II,3807
52.010759,20.963837,01,Słoneczników,3964
52.010820,21.040050,02,Słowicza,3884
52.011052,20.899659,02,Runowska,3824
52.011300,20.899750,01,Runowska,3824
52.011366,20.891043,01,Szczaki,4079
52.011523,20.890821,02,Szczaki,4079
52.011579,20.963561,02,Słoneczników,3964
52.011616,21.195242,01,Wólka Załęska,3364
52.012205,21.195195,02,Wólka Załęska,3364
52.014084,20.901586,02,Wojewódzka,3710
52.014381,20.901705,01,Wojewódzka,3710
52.015045,21.201181,02,Wólka Dworska,3720
52.015047,21.201102,01,Wólka Dworska,3720
52.015296,20.949473,01,Runów Osada,3806
52.015535,20.949869,02,Runów Osada,3806
52.015925,21.040529,01,Nowinek,3757
52.016200,21.140192,01,Baniocha-Marki,3457
52.016672,21.040661,02,Nowinek,3757
52.016820,21.138917,02,Baniocha-Marki,3457
52.017089,20.885321,02,Łanowa,4265
52.017417,21.218599,02,Wólka Dworska-Wisła,3721
52.017676,20.884863,01,Łanowa,4265
52.018220,20.969549,01,Anemonów,3798
52.018262,21.219797,01,Wólka Dworska-Wisła,3721
52.018977,20.904431,01,Zawadzka,3711
52.019171,20.970485,02,Anemonów,3798
52.019467,20.904716,02,Zawadzka,3711
52.019633,21.005610,01,Łbiska-Szkoła,3771
52.019859,21.090518,02,Kasztanowa,3741
52.020267,21.090173,01,Kasztanowa,3741
52.020434,21.005187,02,Łbiska-Szkoła,3771
52.021470,20.880340,04,POD Szczaki,4078
52.021651,20.880807,02,POD Szczaki,4078
52.021797,21.041104,02,Leśnych Boginek,3883
52.021806,21.041006,01,Leśnych Boginek,3883
52.022209,21.127029,02,Baniocha-Centrum,3769
52.022233,20.880306,01,POD Szczaki,4078
52.022233,20.880306,81,POD Szczaki,4078
52.022285,20.955717,01,POD Głosków,3805
52.022530,20.955884,02,POD Głosków,3805
52.022658,21.126276,01,Baniocha-Centrum,3769
52.022877,20.907527,02,Ogrodowa,3825
52.023174,20.786800,01,Krakowiany,4298
52.023329,20.907658,01,Ogrodowa,3825
52.023855,21.002932,01,Łbiska,3752
52.024061,21.002841,02,Łbiska,3752
52.025454,21.218491,01,Podłęcze II,3749
52.025520,20.876920,02,Graniczna,4077
52.025524,20.876904,82,Graniczna,4077
52.025838,21.218372,02,Podłęcze II,3749
52.025960,20.876550,01,Graniczna,4077
52.025960,20.876550,81,Graniczna,4077
52.026346,20.867767,01,Niezwykła,4701
52.026364,20.867767,02,Niezwykła,4701
52.026853,21.089122,02,Brzózek,3740
52.027058,21.039962,01,PKP Zalesie Górne,3842
52.027230,21.088990,01,Brzózek,3740
52.027310,21.036150,01,Wiekowej Sosny,3816
52.027375,20.957975,51,Głosków-Zielone,3220
52.027382,21.035718,02,Wiekowej Sosny,3816
52.027941,20.958236,01,Kościół,3804
52.028220,21.029130,01,Koralowych Dębów,3815
52.028368,21.028933,02,Koralowych Dębów,3815
52.028710,20.913456,01,Sadowa,3826
52.029228,21.185781,02,Brześce,3363
52.029250,20.959261,01,Głosków-Zielone,3220
52.029304,20.959540,02,Głosków-Zielone,3220
52.029541,20.855824,02,Wola Mrokowska,4814
52.029543,20.855698,03,Wola Mrokowska,4814
52.029836,20.801701,01,Wola Krakowiańska,4299
52.029957,21.184388,01,Brześce,3363
52.030114,20.858086,01,Wola Mrokowska,4814
52.030260,21.109705,02,Solec,3373
52.030263,20.916194,02,Sadowa,3826
52.030427,20.782797,01,Leśniczówka,4297
52.030773,20.848247,01,Łączna,4700
52.030849,21.108180,01,Solec,3373
52.030859,20.847797,02,Łączna,4700
52.030874,21.022094,02,Przebudzenia Wiosny,3814
52.030878,20.981161,01,Wólka Pęcherska,3797
52.030901,20.981274,02,Wólka Pęcherska,3797
52.030914,20.837669,01,Postępu,4815
52.030942,20.837578,02,Postępu,4815
52.031370,20.828650,02,Jastrzębiec,4816
52.031467,20.813057,01,Garbatka,4300
52.031481,20.917686,01,Brzoskwiniowa,3481
52.031520,20.829200,01,Jastrzębiec,4816
52.031552,20.870868,02,Brzozowa,4264
52.031933,21.019838,01,Przebudzenia Wiosny,3814
52.032088,20.870395,01,Brzozowa,4264
52.032362,20.822168,01,Szeroka,4190
52.032499,21.212314,02,Wiślana,3722
52.032754,20.951679,01,Milenium,3219
52.033052,20.951099,02,Milenium,3219
52.033467,21.211005,01,Wiślana,3722
52.033917,21.122376,02,Łubna,3767
52.033953,21.122180,01,Łubna,3767
52.034847,20.963847,02,Głosków-Letnisko,3221
52.035101,20.963904,01,Głosków-Letnisko,3221
52.035972,20.923265,01,Baszkówka,3827
52.036001,20.923649,02,Baszkówka,3827
52.036453,20.821581,01,Parole,4301
52.036562,21.015687,01,Wichrowa,3817
52.036730,20.944145,03,Głosków-Szkoła,3218
52.036791,20.943040,02,Głosków-Szkoła,3218
52.036891,20.943750,01,Głosków-Szkoła,3218
52.036903,20.942335,03,Głosków-Szkoła,3218
52.036936,20.990324,01,Górna,3796
52.037034,21.015373,02,Wichrowa,3817
52.037160,20.931673,01,Wierzbowa,3828
52.037184,20.932173,02,Wierzbowa,3828
52.037321,20.996657,01,Jazgarzew-Szkoła,3751
52.037398,20.991052,02,Górna,3796
52.037512,21.203732,01,Podłęcze,3723
52.037737,20.996584,02,Jazgarzew-Szkoła,3751
52.037861,21.202876,02,Podłęcze,3723
52.038008,20.860817,04,Mroków,4076
52.038052,20.862616,02,Mroków,4076
52.038532,20.996262,02,Główna,3750
52.038561,21.176589,01,Kawęczyn II,3362
52.038863,21.087817,01,Pilawa,3739
52.039167,20.995246,04,Główna,3750
52.039169,20.996150,01,Główna,3750
52.039171,20.994853,03,Główna,3750
52.039230,21.012591,02,Jesówka,3813
52.039236,21.012304,01,Jesówka,3813
52.039252,21.176470,02,Kawęczyn II,3362
52.039302,20.949167,01,Lipowa,3307
52.039312,20.946026,52,Lipowa,3307
52.039347,20.945838,51,Lipowa,3307
52.039398,20.945670,02,Lipowa,3307
52.039412,20.861701,01,Mroków,4076
52.039575,20.996969,06,Główna,3750
52.039585,20.996873,05,Główna,3750
52.039651,21.087832,02,Pilawa,3739
52.039795,21.088912,04,Pilawa,3739
52.040075,20.954484,01,Ogrodowa,3217
52.040138,20.815114,01,Parole-Pętla,4302
52.040390,20.957170,52,Ogrodowa,3217
52.040526,21.000113,01,Cmentarz,3819
52.040597,21.086931,03,Pilawa,3739
52.040754,21.003334,02,Cmentarz,3819
52.040855,20.955935,01,Bąkówka,3350
52.041411,20.970469,03,Zielona,3216
52.041812,20.968892,01,Zielona,3216
52.042030,20.971840,02,Zielona,3216
52.042210,20.994250,01,Kościół,3810
52.042540,21.002890,03,Cmentarz,3819
52.042798,20.993922,02,Kościół,3810
52.043033,21.114219,02,Szymanów,3768
52.043095,21.114253,01,Szymanów,3768
52.044220,20.952103,02,Ładna,3339
52.044356,20.951999,52,Ładna,3339
52.044714,21.196021,01,Dębówka II,3728
52.044922,20.951397,01,Ładna,3339
52.044960,20.977070,01,Gołków-Wieś,3215
52.045043,21.195698,02,Dębówka II,3728
52.045178,20.977485,02,Gołków-Wieś,3215
52.045453,20.892098,02,Wesoła,4873
52.046030,21.172421,01,Kawęczyn,3361
52.046135,20.863992,02,Leszczynka,4075
52.046245,21.138080,02,Kawęczynek I,3876
52.046310,20.885750,51,Wesoła,4873
52.046998,21.137158,01,Kawęczynek I,3876
52.047261,20.877048,02,Wspólna,4874
52.047376,21.170418,02,Kawęczyn,3361
52.047428,21.149076,01,Kawęczynek II,3875
52.047725,20.864959,01,Leszczynka,4075
52.048316,20.780957,01,Młochów,4293
52.048493,20.753772,01,Pałacowa,4291
52.048522,20.753575,02,Pałacowa,4291
52.048581,20.945017,02,Robercin,3351
52.048652,21.151121,02,Kawęczynek II,3875
52.048654,20.943982,52,Robercin,3351
52.048709,20.943513,01,Robercin,3351
52.048733,20.932283,01,Rybna,3331
52.048919,20.744907,01,Rozalin,4290
52.048995,20.783857,02,Platanowa,4296
52.049230,21.135727,02,Topolowa,3877
52.049281,21.005855,01,Zachodnia,3756
52.049310,20.933570,03,Rybna,3331
52.049310,20.933570,51,Rybna,3331
52.049325,20.989720,01,Gołków-Letnisko,3172
52.049345,21.135154,01,Topolowa,3877
52.049348,20.989966,02,Gołków-Letnisko,3172
52.049350,20.933385,53,Rybna,3331
52.049543,21.174252,02,Kawęczyn Dolny,3727
52.049641,20.988980,52,Gołków-Letnisko,3172
52.049687,21.174242,01,Kawęczyn Dolny,3727
52.049837,20.931320,02,Rybna,3331
52.049856,20.767906,01,Kanarkowa,4292
52.049900,21.005818,02,Zachodnia,3756
52.049924,21.190860,01,Dębówka,3716
52.049941,21.190892,02,Dębówka,3716
52.050419,21.167700,02,Turowice,3360
52.050568,20.988135,51,Gołków-Letnisko,3172
52.051031,21.166826,01,Turowice,3360
52.051074,21.127237,02,Borowina III,3878
52.051215,21.126884,01,Borowina III,3878
52.051650,21.062987,02,Stefanów,3738
52.051743,20.866178,02,Kolonia Warszawska,4074
52.051816,20.998731,01,Zalesinek,3171
52.051945,20.999446,02,Zalesinek,3171
52.052082,21.061766,01,Stefanów,3738
52.052362,21.117659,02,Borowina II,3879
52.052363,21.111963,04,Borowina I,3880
52.052409,21.117067,01,Borowina II,3879
52.052573,21.154715,01,Słomczyn,3969
52.052629,21.112859,02,Borowina I,3880
52.052748,20.986318,01,Główna,3835
52.052752,20.866925,01,Kolonia Warszawska,4074
52.052765,20.986242,02,Główna,3835
52.052887,21.155320,02,Słomczyn,3969
52.053309,20.926673,51,Orzechowa,3330
52.053323,21.111978,01,Borowina I,3880
52.053902,20.925959,52,Orzechowa,3330
52.054763,20.924684,01,Orzechowa,3330
52.054831,21.041394,01,Główna,3747
52.055010,20.829556,01,Kosów,4266
52.055201,20.924192,02,Orzechowa,3330
52.055308,20.744603,01,Winogronowa,4263
52.055613,21.097086,02,Czarnów,3860
52.055635,20.887489,02,Sosnowa,4872
52.055707,20.887214,01,Sosnowa,4872
52.055707,20.887214,51,Sosnowa,4872
52.056300,20.983149,02,Północna,3836
52.056359,20.983197,01,Północna,3836
52.056403,20.897910,81,Cm.Południowy-Brama Płd.,3327
52.056423,20.897921,01,Cm.Południowy-Brama Płd.,3327
52.056575,21.097867,01,Czarnów,3860
52.056764,20.878298,51,Przydrożna,4871
52.056779,21.008163,01,Zalesie Dolne,3170
52.056824,21.043997,02,Kościół,3702
52.056862,20.895895,02,Cm.Południowy-Brama Płd.,3327
52.056867,20.895861,51,Cm.Południowy-Brama Płd.,3327
52.056919,20.896090,52,Cm.Południowy-Brama Płd.,3327
52.056923,20.896006,03,Cm.Południowy-Brama Płd.,3327
52.057160,21.159795,01,Jabłoniowa,3359
52.057209,21.158854,04,Jabłoniowa,3359
52.057251,20.841250,02,Wólka Kosowska,4267
52.057298,20.905164,02,Cm.Południowy-Brama Wsch.,3328
52.057380,20.843020,01,Wólka Kosowska,4267
52.057422,20.905383,01,Cm.Południowy-Brama Wsch.,3328
52.057431,20.872154,02,Przydrożna,4871
52.057504,20.872059,01,Przydrożna,4871
52.057556,20.868429,02,Wygoda,4073
52.057609,21.008649,02,Zalesie Dolne,3170
52.057639,20.858629,01,CH Wólka Kosowska,4278
52.057681,20.856482,02,CH Wólka Kosowska,4278
52.057754,21.159267,03,Jabłoniowa,3359
52.057776,21.158507,02,Jabłoniowa,3359
52.057803,21.009321,51,Zalesie Dolne,3170
52.057936,20.865531,03,Wygoda,4073
52.058066,21.064182,04,Turkawki,3731
52.058123,20.973571,01,Bobrowiecka,3838
52.058340,21.065070,01,Turkawki,3731
52.058660,20.975260,02,Bobrowiecka,3838
52.058790,21.046897,01,Polna,3730
52.058857,21.165820,01,Żwirowa,3872
52.059050,21.167129,02,Żwirowa,3872
52.059302,20.980396,02,Zaleśna,3837
52.059402,20.967164,02,Bajeczna,3839
52.059485,20.980290,01,Zaleśna,3837
52.059501,20.980270,52,Zaleśna,3837
52.059555,20.894487,01,Cm.Południowy-Brama Zach.,4848
52.059628,21.049162,02,Polna,3730
52.059673,20.869620,01,Wygoda,4073
52.059731,20.966939,01,Bajeczna,3839
52.059737,21.049295,03,Polna,3730
52.059747,21.160201,02,Słomczyn-Kościół,3873
52.059767,21.175587,03,Cieciszew-OSP,3871
52.059767,21.175587,01,Cieciszew-Stary Kościół,3991
52.059793,20.910610,53,Kuleszówka,3329
52.059849,20.911594,01,Kuleszówka,3329
52.060027,21.175435,04,Cieciszew-OSP,3871
52.060027,21.175435,02,Cieciszew-Stary Kościół,3991
52.060146,21.159120,01,Słomczyn-Kościół,3873
52.060185,20.910303,02,Kuleszówka,3329
52.060191,20.894771,02,Cm.Południowy-Brama Zach.,4848
52.060242,21.098709,02,Starego Dębu,3861
52.060518,21.175016,51,Cieciszew-OSP,3871
52.060552,21.043482,02,Mostowa,3729
52.060555,21.175021,02,Cieciszew-OSP,3871
52.060601,21.071703,02,Kukułcza,3732
52.060747,21.174640,01,Cieciszew-OSP,3871
52.060908,21.153696,01,Słomczyn-Szkoła,3358
52.060978,21.072906,01,Kukułcza,3732
52.061133,21.098742,01,Starego Dębu,3861
52.061290,21.026809,01,Wrzosowa,3983
52.061341,21.027128,02,Wrzosowa,3983
52.061357,21.030941,02,Świętojańska,3984
52.061395,21.030723,01,Świętojańska,3984
52.061465,21.153110,02,Słomczyn-Szkoła,3358
52.061735,20.744871,01,Kostowiec,4272
52.061842,20.898671,01,Cm.Południowy-Brama Płn.,3501
52.061870,20.898573,02,Cm.Południowy-Brama Płn.,3501
52.061974,21.024258,02,Szpital,3951
52.062063,20.785973,02,os.Belina,4294
52.062308,21.034540,02,Majowy Zakątek,3986
52.062486,21.023517,53,Szpital,3951
52.062499,21.051012,02,Gołębia,3737
52.062533,20.845249,02,Kozaków,4333
52.062586,21.034400,01,Majowy Zakątek,3986
52.062802,20.845217,01,Kozaków,4333
52.062918,20.920134,03,Władysławów,4135
52.062982,21.015596,02,Pomorska,3335
52.063069,21.051133,01,Gołębia,3737
52.063120,21.015673,01,Pomorska,3335
52.063141,21.150806,01,Łyczyńska,3357
52.063261,21.023472,51,Szpital,3951
52.063324,20.920754,01,Władysławów,4135
52.063440,21.080176,02,Zimorodka,3755
52.063531,21.170635,02,Cieciszew-Las,3953
52.063656,21.080892,01,Zimorodka,3755
52.063720,20.921550,02,Władysławów,4135
52.063932,21.170047,01,Cieciszew-Las,3953
52.064244,21.149885,02,Łyczyńska,3357
52.064244,21.152070,02,Łyczyn,3874
52.064257,21.151750,01,Łyczyn,3874
52.064316,21.035016,52,1 Maja,3436
52.064373,21.035107,51,1 Maja,3436
52.065211,20.962655,02,Bobrowiec,3840
52.065282,21.019095,01,PKP Piaseczno,3169
52.065613,20.927766,01,Polna,4274
52.065786,20.928492,02,Polna,4274
52.065806,21.018039,02,Piaseczno,3905
52.065817,21.031684,02,Rejtana,3748
52.065824,21.154401,01,Parcela II,3718
52.065929,21.020273,02,PKP Piaseczno,3169
52.065996,20.961952,01,Bobrowiec,3840
52.066037,20.871777,02,Marysin,4072
52.066180,21.154602,02,Parcela II,3718
52.066235,21.031016,01,Rejtana,3748
52.066611,21.089750,01,Bociana Czarnego,3754
52.066723,21.052419,02,Królika,3736
52.066773,21.090078,02,Bociana Czarnego,3754
52.066902,21.052412,01,Królika,3736
52.066943,21.016958,01,Piaseczno,3905
52.067048,21.017531,04,PKP Piaseczno,3169
52.067068,21.017610,03,PKP Piaseczno,3169
52.067351,21.027675,02,Gerbera,3340
52.067469,21.017419,06,PKP Piaseczno,3169
52.067522,21.099628,02,Cmentarz,3862
52.067540,21.052596,02,Królika,3736
52.067697,20.843775,01,Szamoty,4063
52.067737,21.016619,07,PKP Piaseczno,3169
52.067788,20.934010,01,Zielona,4273
52.067839,21.017018,05,PKP Piaseczno,3169
52.067853,21.023226,02,Kolejka Piaseczyńska,3168
52.067919,21.028058,01,Dom Kultury,3205
52.067933,20.872853,01,Marysin,4072
52.067969,21.164866,01,Grzybowska,3870
52.068047,21.024405,04,Kolejka Piaseczyńska,3168
52.068050,20.959350,02,Żwirowa,3332
52.068219,20.934108,02,Zielona,4273
52.068372,21.164498,02,Grzybowska,3870
52.068430,20.961402,01,Żwirowa,3332
52.068435,21.099867,01,Cmentarz,3862
52.068566,20.893771,01,Lokalna,4811
52.068723,21.116157,02,Sue Ryder,3963
52.068886,21.116246,01,Sue Ryder,3963
52.068903,20.948402,01,Wilcza Góra,4253
52.068970,20.948230,02,Wilcza Góra,4253
52.069007,20.962428,51,Żwirowa,3332
52.069095,21.023998,03,Kolejka Piaseczyńska,3168
52.069128,21.025004,01,Kolejka Piaseczyńska,3168
52.069142,21.154125,02,Parcela I,3719
52.069295,20.893268,02,Lokalna,4811
52.069355,20.893366,51,Lokalna,4811
52.069395,21.027114,51,Dom Kultury,3205
52.069477,20.985859,01,Łoziska,3801
52.069514,20.991367,01,Orężna,3802
52.069546,20.991429,02,Orężna,3802
52.069649,20.985150,02,Łoziska,3801
52.069702,21.153972,01,Parcela I,3719
52.070048,20.996976,01,Waniliowa,3811
52.070197,20.998155,02,Waniliowa,3811
52.070590,20.758968,01,Urzut,4289
52.070790,21.099438,02,Cedrowa,3863
52.071247,21.008672,02,"Siedzikówny ""Inki""",3960
52.071290,21.016146,03,Dworcowa,3370
52.071340,21.009853,01,"Siedzikówny ""Inki""",3960
52.071508,21.099296,01,Cedrowa,3863
52.071516,21.056483,01,Trzeciakowskich,3735
52.071601,20.977565,01,Leśna,3800
52.071617,21.016121,02,Dworcowa,3370
52.071816,21.056584,01,Trzeciakowskich,3735
52.071951,21.023167,51,Nadarzyńska,3384
52.071961,20.976627,02,Leśna,3800
52.071978,21.023133,01,Nadarzyńska,3384
52.072229,21.056766,02,Trzeciakowskich,3735
52.072368,21.116894,02,ZGK,3881
52.072373,21.012942,55,Targowisko,3464
52.072539,21.159075,01,Olszyna Łyczyńska,3869
52.072559,21.015870,01,Dworcowa,3370
52.072775,21.023157,02,Nadarzyńska,3384
52.072953,21.158215,02,Olszyna Łyczyńska,3869
52.072954,21.117011,01,ZGK,3881
52.073121,21.027167,01,Urząd Miasta,3167
52.073275,21.012709,53,Targowisko,3464
52.073400,20.874636,02,Radiostacja Łazy,4071
52.073515,20.774313,02,Żabieniec,4295
52.073713,21.015491,01,Jarząbka,3321
52.073786,20.875884,03,Radiostacja Łazy,4071
52.073943,21.028934,03,Urząd Miasta,3167
52.074054,21.011582,02,Targowisko,3464
52.074116,20.966330,02,Kolonia Lesznowola,4271
52.074193,21.011341,71,Targowisko,3464
52.074249,21.011946,01,Targowisko,3464
52.074301,21.028345,02,Urząd Miasta,3167
52.074340,21.014295,02,Jarząbka,3321
52.074455,21.123551,01,Dom Rencisty PAN,3962
52.074465,21.029087,71,Urząd Miasta,3167
52.074549,21.017688,02,Powstańców Warszawy,3322
